  Game.cpp
D:\GitHub\Asteroids\GameTemplate\Game.cpp(52,18): warning C4305: 'initializing': truncation from 'double' to 'float'
D:\GitHub\Asteroids\GameTemplate\Game.cpp(324,13): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(324,12): warning C4244: '=': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(335,14): warning C4244: '=': conversion from 'double' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(361,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(362,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(373,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(374,11): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(385,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(386,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(399,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(400,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(413,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(414,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(427,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(428,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(441,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(442,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(455,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(456,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(470,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(471,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(484,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(485,12): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(535,25): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(535,16): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(540,29): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(540,18): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(541,25): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(541,16): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(546,10): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(547,10): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(548,29): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(548,26): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(555,27): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(555,20): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(580,57): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(580,33): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(580,87): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(611,33): warning C4267: 'initializing': conversion from 'size_t' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(612,33): warning C4267: 'initializing': conversion from 'size_t' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(624,9): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(625,9): warning C4244: 'initializing': conversion from 'float' to 'int', possible loss of data
  GameTemplate.vcxproj -> D:\GitHub\Asteroids\GameTemplate\x64\Debug\GameTemplate.exe
